INDEX,STORY,GT,PREDICTED,,,,
2447,hzqqn.66.story,2,4 0 3 ,,,,
4765,12he9h.2.story,12,14 5 11 ,,,,
1497,pwlhs.26.story,5 6 ,2 9 0 ,,,,
4178,oeo0h.77.story,3 4 ,4 2 0 ,,remove first sentence from string,,story
631,11urgx.4.story,1 2 3 ,4 2 0 ,,,,
2520,uie6f.16.story,4,9 16 3 ,,9 75 50,,
1263,vfxbo.79.story,12,2 15 7 ,,pres:0.12 recall:0.18,,
1064,vfxbo.22.story,9,4 11 5 ,,,,
2165,1h7qys.27.story,16 17 7 8 ,6 13 10 ,,,,
4634,27fdf1.1.story,5 7 ,2 4 1 ,,,,
848,27fdf1.15.story,10 12 3 ,7 1 9 ,,,,
3344,1air31.37.story,12 13 14 15 ,16 12 3 ,,,,
4088,1air31.29.story,15 17 6 ,11 7 3 ,,,,
1856,1h7qys.44.story,-1,3 2 0 ,,,,
1871,uie6f.25.story,7,4 3 9 ,,,,
356,1air31.21.story,1 2 ,5 4 3 ,,,,
3257,oeo0h.35.story,9 10 11 6 7 8 ,13 1 8 ,,,,
2508,vfxbo.34.story,3 4 ,4 6 5 ,,,,
1239,1r034d.24.story,9 10 ,6 8 10 ,,,,
271,hzqqn.28.story,10,2 4 8 ,,,,
3314,y9dex.40.story,3 4 ,1 16 14 ,,,,
1540,vfxbo.120.story,17,18 9 12 ,,,,
2228,vfxbo.59.story,2 3 ,2 4 3 ,,,,
2592,vfxbo.55.story,2,3 0 2 ,,,,
2192,vfxbo.99.story,9,3 11 13 ,,,,
