INDEX,STORY,GT,PREDICTED
657,12he9h.8.story,6 ,8 7 6 
2936,hzqqn.59.story,14 15 ,11 15 9 
4081,1r034d.10.story,5 6 7 ,9 4 8 
401,11urgx.26.story,4 5 6 ,4 7 6 
1497,pwlhs.26.story,6 7 ,3 9 8 
4470,27fdf1.58.story,14 15 8 9 ,16 8 4 
2508,vfxbo.34.story,4 5 ,5 6 4 
703,hzqqn.1.story,4 5 ,6 3 5 
621,bhbyx.1.story,10 11 7 ,6 4 10 
4601,1mg1dm.2.story,1 2 4 2 5 ,3 9 8 
1574,vfxbo.27.story,8 ,7 9 10 
1037,1mg1dm.36.story,23 6 11 ,3 17 20 
190,vfxbo.105.story,5 ,4 3 2 
819,oeo0h.27.story,4 ,6 4 7 
3353,bhbyx.54.story,11 12 ,6 7 9 
53,vfxbo.3.story,11 ,24 23 7 
40,vfxbo.63.story,5 ,3 5 2 
2625,hzqqn.82.story,5 6 ,4 2 5 
3726,uie6f.31.story,16 17 41 42 43 44 45 46 ,5 36 3 
2115,vfxbo.66.story,6 ,2 4 5 
4765,12he9h.2.story,13 ,15 6 12 
1868,hzqqn.102.story,15 16 ,8 10 18 
4088,1air31.29.story,16 18 7 ,12 8 4 
2183,bhbyx.26.story,14 15 16 ,3 13 10 
4608,oeo0h.55.story,10 9 ,2 9 7 
